region_id	region_name	color
1	Primary_Visual	#a6cee3
2	Early_Visual	#a6cee3
3	Dorsal_Stream_Visual	#1f78b4
4	Ventral_Stream_Visual	#1f78b4
5	MT+_Complex_and_Neighboring_Visual_Areas	#1f78b4
6	Somatosensory_and_Motor	#b2df8a
7	Paracentral_Lobular_and_Mid_Cingulate	#b2df8a
8	Premotor	#b2df8a
9	Posterior_Opercular	#b2df8a
10	Early_Auditory	#33a02c
11	Auditory_Association	#33a02c
12	Insular_and_Frontal_Opercular	#33a02c
13	Medial_Temporal	#fb9a99
14	Lateral_Temporal	#fb9a99
15	Temporo-Parieto_Occipital_Junction	#e31a1c
16	Superior_Parietal	#e31a1c
17	Inferior_Parietal	#e31a1c
18	Posterior_Cingulate	#e31a1c
19	Anterior_Cingulate_and_Medial_Prefrontal	#fdbf6f
20	Orbital_and_Polar_Frontal	#fdbf6f
21	Inferior_Frontal	#fdbf6f
22	Dorsolateral_Prefrontal	#fdbf6f
